Package,File,Line,CC
jsat,/DataSet.java,832,12
jsat.linear.distancemetrics,/linear/distancemetrics/JaccardDistance.java,108,23
jsat.linear.distancemetrics,/linear/distancemetrics/PearsonDistance.java,101,36
jsat.linear,/linear/SingularValueDecomposition.java,22,118 (highest 24)
jsat.linear,/linear/SingularValueDecomposition.java,113,13
jsat.linear,/linear/SingularValueDecomposition.java,176,10
jsat.linear,/linear/SingularValueDecomposition.java,244,11
jsat.linear,/linear/SingularValueDecomposition.java,283,24
jsat.linear,/linear/DenseVector.java,17,113 (highest 10)
jsat.linear,/linear/DenseVector.java,339,10
jsat.linear,/linear/MatrixOfVecs.java,70,11
jsat.linear,/linear/SparseVector.java,29,188 (highest 17)
jsat.linear,/linear/SparseVector.java,542,17
jsat.linear,/linear/SparseVector.java,650,15
jsat.linear,/linear/SparseVector.java,703,10
jsat.linear,/linear/SparseVector.java,778,12
jsat.linear,/linear/Matrix.java,29,125 (highest 9)
jsat.linear,/linear/EigenValueDecomposition.java,39,147 (highest 30)
jsat.linear,/linear/EigenValueDecomposition.java,76,20
jsat.linear,/linear/EigenValueDecomposition.java,205,14
jsat.linear,/linear/EigenValueDecomposition.java,395,30
jsat.linear,/linear/EigenValueDecomposition.java,973,17
jsat.linear,/linear/SparseMatrix.java,21,133 (highest 20)
jsat.linear,/linear/SparseMatrix.java,451,20
jsat.linear,/linear/Poly2Vec.java,138,17
jsat.linear.solvers,/linear/solvers/ConjugateGradient.java,107,12
jsat.linear,/linear/DenseMatrix.java,24,171 (highest 14)
jsat.linear,/linear/DenseMatrix.java,337,10
jsat.linear,/linear/DenseMatrix.java,406,11
jsat.linear,/linear/DenseMatrix.java,501,11
jsat.linear,/linear/DenseMatrix.java,632,10
jsat.linear,/linear/DenseMatrix.java,749,14
jsat.linear,/linear/GenericMatrix.java,23,171 (highest 18)
jsat.linear,/linear/GenericMatrix.java,126,10
jsat.linear,/linear/GenericMatrix.java,180,12
jsat.linear,/linear/GenericMatrix.java,257,10
jsat.linear,/linear/GenericMatrix.java,492,12
jsat.linear,/linear/GenericMatrix.java,566,18
jsat.linear,/linear/VecOps.java,32,24
jsat.linear,/linear/VecOps.java,103,20
jsat.linear,/linear/MatrixStatistics.java,35,91 (highest 18)
jsat.linear,/linear/MatrixStatistics.java,136,10
jsat.linear,/linear/MatrixStatistics.java,168,10
jsat.linear,/linear/MatrixStatistics.java,233,10
jsat.linear,/linear/MatrixStatistics.java,447,18
jsat.linear,/linear/Vec.java,26,195 (highest 25)
jsat.linear,/linear/Vec.java,229,10
jsat.linear,/linear/Vec.java,736,17
jsat.linear,/linear/Vec.java,801,10
jsat.linear,/linear/Vec.java,840,20
jsat.linear,/linear/Vec.java,918,25
jsat.linear,/linear/SubMatrix.java,27,16
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,476,10
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,601,85 (highest 19)
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,704,19
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,797,12
jsat.linear.vectorcollection,/linear/vectorcollection/RandomBallCover.java,183,11
jsat.linear.vectorcollection,/linear/vectorcollection/RandomBallCover.java,246,16
jsat.linear.vectorcollection,/linear/vectorcollection/RandomBallCover.java,325,21
jsat.linear.vectorcollection,/linear/vectorcollection/BallTree.java,80,84 (highest 29)
jsat.linear.vectorcollection,/linear/vectorcollection/BallTree.java,456,29
jsat.linear.vectorcollection,/linear/vectorcollection/DualTree.java,58,10
jsat.linear.vectorcollection,/linear/vectorcollection/DualTree.java,603,23
jsat.linear.vectorcollection,/linear/vectorcollection/RTree.java,27,100 (highest 28)
jsat.linear.vectorcollection,/linear/vectorcollection/RTree.java,656,28
jsat.linear.vectorcollection,/linear/vectorcollection/SVPTree.java,558,19
jsat.linear.vectorcollection,/linear/vectorcollection/SVPTree.java,651,12
jsat.linear.vectorcollection,/linear/vectorcollection/KDTree.java,432,38
jsat.linear.vectorcollection,/linear/vectorcollection/DCI.java,96,11
jsat.linear.vectorcollection,/linear/vectorcollection/DCI.java,145,11
jsat.linear.vectorcollection,/linear/vectorcollection/DCI.java,296,16
jsat.linear.vectorcollection,/linear/vectorcollection/DCI.java,382,17
jsat.linear,/linear/HessenbergForm.java,25,10
jsat.linear,/linear/Lanczos.java,33,10
jsat.io,/io/LIBSVMLoader.java,40,84 (highest 62)
jsat.io,/io/LIBSVMLoader.java,267,62
jsat.io,/io/ARFFLoader.java,69,32
jsat.io,/io/ARFFLoader.java,240,18
jsat.io,/io/JSATData.java,212,19
jsat.io,/io/JSATData.java,645,26
jsat.io,/io/CSV.java,53,102 (highest 63)
jsat.io,/io/CSV.java,289,63
jsat.io,/io/CSV.java,676,12
jsat.clustering.hierarchical,/clustering/hierarchical/DivisiveGlobalClusterer.java,80,24
jsat.clustering.hierarchical,/clustering/hierarchical/SimpleHAC.java,83,11
jsat.clustering.hierarchical,/clustering/hierarchical/NNChainHAC.java,200,13
jsat.clustering,/clustering/OPTICS.java,34,97 (highest 21)
jsat.clustering,/clustering/OPTICS.java,365,21
jsat.clustering,/clustering/OPTICS.java,513,11
jsat.clustering,/clustering/GapStatistic.java,274,28
jsat.clustering,/clustering/FLAME.java,191,45
jsat.clustering,/clustering/CLARA.java,127,13
jsat.clustering,/clustering/MEDDIT.java,210,15
jsat.clustering,/clustering/VBGMM.java,290,15
jsat.clustering.evaluation,/clustering/evaluation/NormalizedMutualInformation.java,28,16
jsat.clustering.evaluation.intra,/clustering/evaluation/intra/SumOfSqrdPairwiseDistances.java,74,10
jsat.clustering.evaluation,/clustering/evaluation/Completeness.java,35,13
jsat.clustering.evaluation,/clustering/evaluation/Homogeneity.java,39,12
jsat.clustering,/clustering/BayesianHAC.java,680,11
jsat.clustering,/clustering/HDBSCAN.java,211,38
jsat.clustering.kmeans,/clustering/kmeans/XMeans.java,173,23
jsat.clustering.kmeans,/clustering/kmeans/KMeansPDN.java,83,13
jsat.clustering.kmeans,/clustering/kmeans/GMeans.java,152,22
jsat.clustering.kmeans,/clustering/kmeans/NaiveKMeans.java,95,14
jsat.clustering.kmeans,/clustering/kmeans/HamerlyKMeans.java,92,13
jsat.clustering.kmeans,/clustering/kmeans/KernelKMeans.java,39,85 (highest 10)
jsat.clustering.kmeans,/clustering/kmeans/KernelKMeans.java,103,10
jsat.clustering.kmeans,/clustering/kmeans/KernelKMeans.java,363,10
jsat.clustering.kmeans,/clustering/kmeans/LloydKernelKMeans.java,107,10
jsat.clustering.kmeans,/clustering/kmeans/ElkanKernelKMeans.java,165,12
jsat.clustering.kmeans,/clustering/kmeans/ElkanKMeans.java,117,25
jsat.utils,/utils/StringUtils.java,9,11
jsat.utils,/utils/StringUtils.java,86,49
jsat.utils,/utils/IntSet.java,120,15
jsat.utils,/utils/QuickSort.java,18,83 (highest 17)
jsat.utils,/utils/QuickSort.java,144,14
jsat.utils,/utils/QuickSort.java,228,17
jsat.utils,/utils/QuickSort.java,301,17
jsat.utils,/utils/IntDoubleMap.java,287,13
jsat.utils,/utils/LongDoubleMap.java,228,13
jsat.math.optimization.stochastic,/math/optimization/stochastic/Adam.java,61,22
jsat.math.optimization.stochastic,/math/optimization/stochastic/Rprop.java,86,10
jsat.math.optimization,/math/optimization/NelderMead.java,127,17
jsat.math.optimization,/math/optimization/ModifiedOWLQN.java,189,28
jsat.math.optimization,/math/optimization/BFGS.java,43,12
jsat.math.optimization,/math/optimization/BacktrackingArmijoLineSearch.java,63,15
jsat.math.optimization,/math/optimization/WolfeNWLineSearch.java,108,16
jsat.math.rootfinding,/math/rootfinding/Zeroin.java,57,19
jsat.math,/math/SpecialMath.java,23,129 (highest 16)
jsat.math,/math/SpecialMath.java,317,12
jsat.math,/math/SpecialMath.java,390,16
jsat.math,/math/SpecialMath.java,732,11
jsat.math,/math/SpecialMath.java,854,13
jsat.datatransform.visualization,/datatransform/visualization/TSNE.java,620,11
