Package,File,Line,ClassName,ClassCC,HighestCC,metric
Package,File,Line,ClassName,WOC,NOPA,NOAM,WMC,metric
Package,File,Line,MethodSignature,MethodName,MethodCC,metric
Package,File,Line,MethodSignature,MethodName,MethodNCSS,metric
Package,File,Line,MethodSignature,MethodName,MethodNCSS,metric
Package,File,Line,MethodSignature,MethodName,MethodNPath,metric
Package,Path,Line,WMC,ATFD,TCC,metric
jsat,/src/jsat/ColumnMajorStore.java,102,ColumnMajorStore(ColumnMajorStore),ColumnMajorStore,8,npath
jsat,/src/jsat/ColumnMajorStore.java,118,rowMajor(),rowMajor,1,npath
jsat,/src/jsat/ColumnMajorStore.java,124,setCategoricalDataInfo(CategoricalData),setCategoricalDataInfo,1,npath
jsat,/src/jsat/ColumnMajorStore.java,131,numCategorical(),numCategorical,1,npath
jsat,/src/jsat/ColumnMajorStore.java,137,numNumeric(),numNumeric,1,npath
jsat,/src/jsat/ColumnMajorStore.java,143,setNumNumeric(int),setNumNumeric,12,npath
jsat,/src/jsat/ColumnMajorStore.java,159,addDataPoint(DataPoint),addDataPoint,10,method_cc
jsat,/src/jsat/ColumnMajorStore.java,159,addDataPoint(DataPoint),addDataPoint,162,npath
jsat,/src/jsat/ColumnMajorStore.java,210,getDataPoint(int),getDataPoint,72,npath
jsat,/src/jsat/ColumnMajorStore.java,238,setDataPoint(int, DataPoint),setDataPoint,16,npath
jsat,/src/jsat/ColumnMajorStore.java,261,finishAdding(),finishAdding,6,npath
jsat,/src/jsat/ColumnMajorStore.java,281,getNumericColumns(Set),getNumericColumns,4,npath
jsat,/src/jsat/ColumnMajorStore.java,295,size(),size,1,npath
jsat,/src/jsat/ColumnMajorStore.java,301,getSparsityStats(),getSparsityStats,3,npath
jsat,/src/jsat/ColumnMajorStore.java,316,clone(),clone,1,npath
jsat,/src/jsat/ColumnMajorStore.java,322,emptyClone(),emptyClone,1,npath
jsat,/src/jsat/ColumnMajorStore.java,328,getCatColumn(int),getCatColumn,3,npath
jsat,/src/jsat/ColumnMajorStore.java,51,ColumnMajorStore(boolean),ColumnMajorStore,1,npath
jsat,/src/jsat/ColumnMajorStore.java,60,ColumnMajorStore(),ColumnMajorStore,1,npath
jsat,/src/jsat/ColumnMajorStore.java,66,getCategoricalDataInfo(),getCategoricalDataInfo,1,npath
jsat,/src/jsat/ColumnMajorStore.java,76,ColumnMajorStore(int, CategoricalData),ColumnMajorStore,1,npath
jsat,/src/jsat/ColumnMajorStore.java,86,ColumnMajorStore(int, CategoricalData, boolean),ColumnMajorStore,6,npath
jsat,/src/jsat/DataSet.java,101,setDataStore(DataStore),setDataStore,6,npath
jsat,/src/jsat/DataSet.java,121,rowMajor(),rowMajor,1,npath
jsat,/src/jsat/DataSet.java,133,setNumericName(String, int),setNumericName,3,npath
jsat,/src/jsat/DataSet.java,148,getNumericName(int),getNumericName,3,npath
jsat,/src/jsat/DataSet.java,161,getCategoryName(int),getCategoryName,3,npath
jsat,/src/jsat/DataSet.java,176,applyTransform(DataTransform),applyTransform,1,npath
jsat,/src/jsat/DataSet.java,189,applyTransform(DataTransform, boolean),applyTransform,1,npath
jsat,/src/jsat/DataSet.java,204,applyTransformMutate(DataTransform, boolean),applyTransformMutate,1,npath
jsat,/src/jsat/DataSet.java,219,applyTransformMutate(DataTransform, boolean, boolean),applyTransformMutate,6,npath
jsat,/src/jsat/DataSet.java,245,replaceNumericFeatures(List),replaceNumericFeatures,8,npath
jsat,/src/jsat/DataSet.java,269,base_add(DataPoint, double),base_add,1,npath
