Package,File,Line,ClassName,ClassCC,HighestCC
jsat,/src/jsat/DataSet.java,27,DataSet,120,12
jsat.linear,/src/jsat/linear/SingularValueDecomposition.java,22,SingularValueDecomposition,118,24
jsat.linear,/src/jsat/linear/DenseVector.java,17,DenseVector,113,10
jsat.linear,/src/jsat/linear/SparseVector.java,29,SparseVector,188,17
jsat.linear,/src/jsat/linear/Matrix.java,29,Matrix,125,9
jsat.linear,/src/jsat/linear/EigenValueDecomposition.java,39,EigenValueDecomposition,147,30
jsat.linear,/src/jsat/linear/SparseMatrix.java,21,SparseMatrix,133,20
jsat.linear,/src/jsat/linear/DenseMatrix.java,24,DenseMatrix,171,14
jsat.linear,/src/jsat/linear/GenericMatrix.java,23,GenericMatrix,171,18
jsat.linear,/src/jsat/linear/MatrixStatistics.java,35,MatrixStatistics,91,18
jsat.linear,/src/jsat/linear/Vec.java,26,Vec,195,25
jsat.linear.vectorcollection,/src/jsat/linear/vectorcollection/VPTree.java,601,VPNode,85,19
jsat.linear.vectorcollection,/src/jsat/linear/vectorcollection/BallTree.java,80,BallTree,84,29
jsat.linear.vectorcollection,/src/jsat/linear/vectorcollection/RTree.java,27,RTree,100,28
jsat.io,/src/jsat/io/LIBSVMLoader.java,40,LIBSVMLoader,84,62
jsat.io,/src/jsat/io/CSV.java,53,CSV,102,63
jsat.clustering,/src/jsat/clustering/OPTICS.java,34,OPTICS,97,21
jsat.clustering.kmeans,/src/jsat/clustering/kmeans/KernelKMeans.java,39,KernelKMeans,85,10
jsat.utils,/src/jsat/utils/QuickSort.java,18,QuickSort,83,17
jsat.math,/src/jsat/math/SpecialMath.java,23,SpecialMath,129,16
jsat.text.topicmodel,/src/jsat/text/topicmodel/OnlineLDAsvi.java,84,OnlineLDAsvi,85,9
jsat.text.stemming,/src/jsat/text/stemming/LovinsStemmer.java,12,LovinsStemmer,96,86
jsat.classifiers.trees,/src/jsat/classifiers/trees/DecisionStump.java,38,DecisionStump,118,15
jsat.classifiers.trees,/src/jsat/classifiers/trees/DecisionTree.java,36,DecisionTree,81,11
jsat.classifiers.linear,/src/jsat/classifiers/linear/SDCA.java,64,SDCA,87,24
jsat.classifiers.linear,/src/jsat/classifiers/linear/StochasticMultinomialLogisticRegression.java,35,StochasticMultinomialLogisticRegression,88,32
jsat.classifiers.linear,/src/jsat/classifiers/linear/NewGLMNET.java,59,NewGLMNET,112,59
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/BackPropagationNet.java,46,BackPropagationNet,85,13
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/SGDNetworkTrainer.java,41,SGDNetworkTrainer,109,13
jsat.classifiers.svm,/src/jsat/classifiers/svm/PlattSMO.java,59,PlattSMO,275,57
jsat.classifiers.svm,/src/jsat/classifiers/svm/DCDs.java,58,DCDs,122,28
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,20,ClassificationDataSet,81,9
jsat.distributions.kernels,/src/jsat/distributions/kernels/KernelPoint.java,40,KernelPoint,90,25
jsat.distributions.kernels,/src/jsat/distributions/kernels/KernelPoints.java,19,KernelPoints,89,39
