Package,File,Line,ClassName,WOC,NOPA,NOAM,WMC
jsat.linear,/src/jsat/linear/IndexValue.java,12,IndexValue,0.000,0,4,5
jsat.linear.vectorcollection,/src/jsat/linear/vectorcollection/KDTree.java,227,KDNode,0.000,0,6,22
jsat.clustering,/src/jsat/clustering/CLARA.java,20,CLARA,8.333,0,4,26
jsat.clustering,/src/jsat/clustering/MeanShift.java,45,MeanShift,20.000,2,4,37
jsat.clustering.biclustering,/src/jsat/clustering/biclustering/SpectralCoClustering.java,27,SpectralCoClustering,30.000,0,4,28
jsat.utils,/src/jsat/utils/ProbailityMatch.java,9,ProbailityMatch,16.667,0,4,6
jsat.utils,/src/jsat/utils/Tuple3.java,28,Tuple3,27.273,0,6,12
jsat.math,/src/jsat/math/ExponentialMovingStatistics.java,34,ExponentialMovingStatistics,22.222,0,4,14
jsat.datatransform,/src/jsat/datatransform/WhitenedPCA.java,23,WhitenedPCA,26.667,0,4,30
jsat.datatransform.featureselection,/src/jsat/datatransform/featureselection/ReliefF.java,49,ReliefF,31.579,0,6,41
jsat.parameters,/src/jsat/parameters/ModelSearch.java,39,ModelSearch,15.000,0,14,41
jsat.text.tokenizer,/src/jsat/text/tokenizer/NaiveTokenizer.java,17,NaiveTokenizer,14.286,0,10,33
jsat.regression,/src/jsat/regression/RANSAC.java,33,RANSAC,31.250,0,10,34
jsat.regression,/src/jsat/regression/StochasticGradientBoosting.java,42,StochasticGradientBoosting,28.571,2,6,37
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,12,DataPointPair,16.667,0,4,6
jsat.classifiers.bayesian.graphicalmodel,/src/jsat/classifiers/bayesian/graphicalmodel/DirectedGraph.java,19,Pair,28.571,0,4,11
jsat.outlier,/src/jsat/outlier/LOF.java,36,LOF,22.222,0,4,11
jsat.outlier,/src/jsat/outlier/LoOP.java,37,LoOP,18.182,0,6,12
