"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","3","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","3","Class comments are required","Documentation","CommentRequired"
"4","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","4","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","4","Public method and constructor comments are required","Documentation","CommentRequired"
"6","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","5","Avoid variables with short names like in","Code Style","ShortVariable"
"7","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","5","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"8","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","5","Local variable 'in' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","6","Avoid variables with short names like n","Code Style","ShortVariable"
"10","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","6","Local variable 'n' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","10","Avoid variables with short names like n","Code Style","ShortVariable"
"12","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","10","Parameter 'n' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","1","10","The static method name 'calc_fib_fast' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"14","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","11","Avoid using Literals in Conditional Statements","Error Prone","AvoidLiteralsInIfCondition"
"15","","/Users/grogowsk/master degree/publication-source-code/fibonacci/fibonacci_java.java","3","12","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
